"payment_id","customer_id","staff_id","rental_id","amount","payment_date","last_update"
40237,238,71,281475,39.30,2010-01-03,2010-01-01 00:10:25
40238,167,80,281476,83.70,2010-01-03 04:21:21,2010-01-01 00:21:13
40239,446,121,281477,38.50,2010-01-05 07:47:23,2010-01-01 00:33:58
40240,565,19,281478,14.80,2010-01-06 09:15:59,2010-01-01 00:48:18
40241,573,64,281479,67.00,2010-01-06 15:20:16,2010-01-01 01:03:01
40242,75,17,281481,50.80,2010-01-05 23:45:30,2010-01-01 01:18:00
40243,52,7,281482,12.10,2010-01-06 04:39:49,2010-01-01 01:34:01
40244,591,6,281483,39.70,2010-01-07 05:53:43,2010-01-01 01:50:25
40245,462,68,281484,9.40,2010-01-07 07:26:19,2010-01-01 02:03:49
40246,142,120,281485,97.70,2010-01-05 09:04:59,2010-01-01 02:16:21
40247,429,72,281486,93.60,2010-01-05 10:00:13,2010-01-01 02:31:40
40248,468,78,281487,75.40,2010-01-05 11:33:41,2010-01-01 02:42:19
40249,114,121,281488,33.10,2010-01-04 12:11:04,2010-01-01 02:55:58
40250,472,63,281489,26.30,2010-01-06 13:17:17,2010-01-01 03:11:48
40251,579,17,281490,49.60,2010-01-05 15:15:09,2010-01-01 03:22:25
40252,357,11,281491,59.00,2010-01-07 17:28:34,2010-01-01 03:37:44
40253,18,12,281492,93.00,2010-01-03 19:38:45,2010-01-01 03:48:42
40254,529,8,281493,25.00,2010-01-05 21:48:32,2010-01-01 04:02:40
40255,312,72,281494,63.90,2010-01-04 00:13:16,2010-01-01 04:15:37
40256,131,12,281495,50.60,2010-01-05 01:29:12,2010-01-01 04:27:41
40257,309,75,281496,5.30,2010-01-08 02:53:12,2010-01-01 04:38:05
40258,16,16,281497,61.80,2010-01-04 04:14:58,2010-01-01 04:53:17
40259,6,18,281498,19.00,2010-01-08 05:23:49,2010-01-01 05:05:05
40260,45,16,281499,43.50,2010-01-06 06:12:25,2010-01-01 05:18:37
40261,446,78,281500,39.70,2010-01-05 07:42:24,2010-01-01 05:28:53
40262,599,10,281502,19.40,2010-01-05 10:08:02,2010-01-01 05:43:15
40263,226,16,281503,28.50,2010-01-08 10:45:13,2010-01-01 05:54:06
40264,389,14,281504,18.00,2010-01-05 12:59:37,2010-01-01 06:10:27
40265,407,116,281505,45.50,2010-01-05 13:50:20,2010-01-01 06:21:12
40266,350,67,281506,49.50,2010-01-07 14:21:54,2010-01-01 06:35:44
