"rental_id","rental_date","inventory_id","customer_id","return_date","staff_id","last_update"
281475,2010-01-01 04:21:21,1372,238,2010-01-03,68,2010-01-01 02:18:47
281476,2010-01-01 07:47:23,3430,167,2010-01-03 04:21:21,122,2010-01-01 04:05:03
281477,2010-01-01 09:15:59,1161,446,2010-01-05 07:47:23,1,2010-01-01 05:08:26
281478,2010-01-01 15:20:16,743,565,2010-01-06 09:15:59,120,2010-01-01 06:03:18
281479,2010-01-01 20:41:05,1919,573,2010-01-06 15:20:16,21,2010-01-01 06:20:04
281480,2010-01-01 23:45:30,3323,480,2010-01-05 20:41:05,72,2010-01-01 06:43:21
281481,2010-01-02 04:39:49,165,75,2010-01-05 23:45:30,124,2010-01-01 07:05:52
281482,2010-01-02 05:53:43,4470,52,2010-01-06 04:39:49,123,2010-01-01 09:00:01
281483,2010-01-02 07:26:19,3135,591,2010-01-07 05:53:43,75,2010-01-01 10:18:55
281484,2010-01-02 09:04:59,4486,462,2010-01-07 07:26:19,74,2010-01-01 12:05:55
281485,2010-01-02 10:00:13,1300,142,2010-01-05 09:04:59,20,2010-01-01 13:55:18
281486,2010-01-02 11:33:41,2788,429,2010-01-05 10:00:13,114,2010-01-01 16:04:33
281487,2010-01-02 12:11:04,1203,468,2010-01-05 11:33:41,68,2010-01-01 16:59:37
281488,2010-01-02 13:17:17,1882,114,2010-01-04 12:11:04,124,2010-01-01 19:22:41
281489,2010-01-02 15:15:09,2387,472,2010-01-06 13:17:17,13,2010-01-01 20:14:03
281490,2010-01-02 17:28:34,1798,579,2010-01-05 15:15:09,114,2010-01-01 20:30:42
281491,2010-01-02 19:38:45,2039,357,2010-01-07 17:28:34,21,2010-01-01 22:09:10
281492,2010-01-02 21:48:32,2008,18,2010-01-03 19:38:45,7,2010-01-01 23:28:29
281493,2010-01-03 00:13:16,2080,529,2010-01-05 21:48:32,76,2010-01-02 01:30:56
281494,2010-01-03 01:29:12,1229,312,2010-01-04 00:13:16,71,2010-01-02 03:04:21
281495,2010-01-03 02:53:12,3806,131,2010-01-05 01:29:12,121,2010-01-02 03:26:20
281496,2010-01-03 04:14:58,3010,309,2010-01-08 02:53:12,62,2010-01-02 03:45:54
281497,2010-01-03 05:23:49,2974,16,2010-01-04 04:14:58,68,2010-01-02 04:33:11
281498,2010-01-03 06:12:25,4116,6,2010-01-08 05:23:49,65,2010-01-02 06:41:03
281499,2010-01-03 07:42:24,575,45,2010-01-06 06:12:25,14,2010-01-02 08:00:40
281500,2010-01-03 09:27:25,2586,446,2010-01-05 07:42:24,64,2010-01-02 08:33:44
281501,2010-01-03 10:08:02,951,576,2010-01-08 09:27:25,119,2010-01-02 09:52:22
281502,2010-01-03 10:45:13,2517,599,2010-01-05 10:08:02,3,2010-01-02 10:00:52
281503,2010-01-03 12:59:37,4507,226,2010-01-08 10:45:13,21,2010-01-02 11:28:04
281504,2010-01-03 13:50:20,3631,389,2010-01-05 12:59:37,12,2010-01-02 12:04:36
281505,2010-01-03 14:21:54,3951,407,2010-01-05 13:50:20,7,2010-01-02 13:13:59
281506,2010-01-03 14:54:52,1794,350,2010-01-07 14:21:54,79,2010-01-02 14:32:14
281507,2010-01-03 17:03:11,4013,174,2010-01-06 14:54:52,78,2010-01-02 15:59:15
281508,2010-01-03 19:18:06,536,140,2010-01-08 17:03:11,122,2010-01-02 17:35:13
281509,2010-01-03 21:31:30,2293,551,2010-01-05 19:18:06,11,2010-01-02 17:50:59
281510,2010-01-03 23:24:08,4318,50,2010-01-08 21:31:30,74,2010-01-02 18:52:19
281511,2010-01-04 01:24:43,3568,581,2010-01-04 23:24:08,15,2010-01-02 20:57:59
281512,2010-01-04 08:40:10,1899,392,2010-01-08 01:24:43,73,2010-01-02 22:45:01
281513,2010-01-04 14:30:11,140,192,2010-01-07 08:40:10,120,2010-01-02 23:26:59
281514,2010-01-04 18:57:20,1211,334,2010-01-05 14:30:11,21,2010-01-03 01:50:26
281515,2010-01-04 23:34:50,4117,173,2010-01-08 18:57:20,7,2010-01-03 03:25:37
281516,2010-01-05 03:23:56,2146,521,2010-01-06 23:34:50,69,2010-01-03 04:36:08
281517,2010-01-05 09:17:34,371,86,2010-01-08 03:23:56,123,2010-01-03 04:55:26
281518,2010-01-05 14:38:20,2024,85,2010-01-09 09:17:34,15,2010-01-03 07:13:31
281519,2010-01-05 21:43:22,2775,137,2010-01-08 14:38:20,122,2010-01-03 08:34:06
281520,2010-01-06 00:19:03,2966,159,2010-01-07 21:43:22,64,2010-01-03 09:58:34
281521,2010-01-06 04:24:33,4297,484,2010-01-09 00:19:03,66,2010-01-03 11:08:26
281522,2010-01-06 08:52:02,1604,76,2010-01-10 04:24:33,124,2010-01-03 13:14:24
281523,2010-01-06 14:35:07,2002,411,2010-01-11 08:52:02,123,2010-01-03 15:00:47
281524,2010-01-06 21:27:18,1896,106,2010-01-08 14:35:07,9,2010-01-03 16:52:23
281525,2010-01-07 01:51:39,1803,454,2010-01-10 21:27:18,125,2010-01-03 17:51:03
281526,2010-01-07 06:24:13,1809,103,2010-01-09 01:51:39,75,2010-01-03 19:18:07
281527,2010-01-07 09:10:44,2898,229,2010-01-09 06:24:13,125,2010-01-03 20:14:36
281528,2010-01-07 11:58:36,3263,317,2010-01-11 09:10:44,74,2010-01-03 22:22:53
281529,2010-01-07 17:25:16,2704,155,2010-01-08 11:58:36,72,2010-01-03 22:30:43
281530,2010-01-07 20:03:43,3916,424,2010-01-10 17:25:16,76,2010-01-03 23:20:44
281531,2010-01-08 01:44:19,876,245,2010-01-10 20:03:43,8,2010-01-04 01:24:29
